,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r6,r6,r6,r6,r6,r6,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,r6,r6,r6,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,,,22,,23,,,,,,,26,,
,r7,r7,r7,r7,r7,r7,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,r7,r7,r7,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,,,22,,23,,,,,,,27,,
,r2,r2,r2,r2,r2,r2,,,,,,,,,,,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,28,29,,,,,30,4,,,,,,,,,
,r5,r5,r5,r5,r5,r5,,,,,,,,,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r4,r4,r4,r4,r4,r4,,,,,,,,,,,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,s33,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,,,,,,s39,,,34,35,,,,,36,,37,4,,,,,,38,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,40,
,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,42,,,,,30,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,r15,r15,r15,r15,r15,r15,,,,r15,,r15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,,,,r12,,s39,,,34,35,,,,,43,,37,4,,,,,,38,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,r14,r14,r14,r14,r14,r14,,,,r14,,r14,,,,,,,,,,,,,,,,,,,,,
s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,
s48,,,s49,,s50,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,51,52,,53,54,4,55,,,56,57,,,,
,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,,s60,,,,,,,,,,,,,,,58,4,,,59,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,
s48,,,s49,,s50,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,61,52,,53,54,4,55,,,56,57,,,,
,,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,s62,,s63,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r25,r25,r25,,r25,r25,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r32,r32,r32,,r32,r32,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,r32,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,66
,r26,r26,r26,,r26,r26,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r27,r27,r27,,r27,r27,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,
,r22,s68,r22,,r22,s69,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,,,,71,4,,,,,,,,,
,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s73,,s62,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s48,,,s49,,s50,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,52,,53,54,4,55,,,56,74,,,,
s48,,,s49,,s50,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,52,,53,54,4,55,,,56,75,,,,
,,,,,,,,,,,,,,,,,,,,r19,r19,r19,r19,r19,r19,,,,r19,,r19,,,,,,,,,,,,,,,,,,,,,
,r34,r34,r34,,r34,r34,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,r34,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,76
,r31,r31,r31,,r31,r31,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r30,r30,r30,,r30,r30,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,r30,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,77
s48,,,s49,,s50,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,78,,53,54,4,55,,,56,,,,,
s48,,,s49,,s50,,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,,,,s5,s6,s7,s8,s9,s10,,,,,,,,,,,,,,79,,53,54,4,55,,,56,,,,,
,,,,,,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r28,r28,r28,,r28,r28,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r20,s68,r20,,r20,s69,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r21,s68,r21,,r21,s69,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r33,r33,r33,,r33,r33,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r29,r29,r29,,r29,r29,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r23,r23,r23,,r23,r23,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r24,r24,r24,,r24,r24,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,r17,r17,r17,r17,r17,r17,,,,r17,,r17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,r16,r16,r16,r16,r16,r16,,,,r16,,r16,,,,,,,,,,,,,,,,,,,,,
